,Unnamed: 0,Company,Valuation ($B),Date Joined,Country,City,Industry,Investor 1,Investor 2,Investor 3,Investor 4
298,298,Uala,2.45,2021-08-13,Argentina,Buenos Aires,Fintech,Soros Fund Management,Ribbit Capital,Monashees+,
467,467,SafetyCulture,1.6,2021-05-03,Australia,Sydney,Internet software & services,Blackbird Ventures,IndexVentures,Tiger Global Management,
869,869,GO1,1.0,2021-07-19,Australia,Brisbane,Internet software & services,Y Combinator,M12,SEEK,
509,509,Culture Amp,1.5,2021-07-29,Australia,Richmond,Internet software & services,Felicis Ventures,Index Ventures,Blackbird Ventures,
117,117,Airwallex,5.5,2019-03-25,Australia,Melbourne,Fintech,DST Global,Sequoia Capital China,Tencent Holdings,
935,935,Pet Circle,1.0,2021-12-07,Australia,Alexandria,E-commerce & direct-to-consumer,Prysm Capital,Baillie Gifford & Co.,TDM Growth Partners,
4,4,Canva,40.0,2018-01-08,Australia,Surry Hills,Internet software & services,Sequoia Capital China,Blackbird Ventures,Matrix Partners,
443,443,GoStudent,1.7,2021-06-22,Austria,Vienna,Edtech,DN Capital,Left Lane Capital,Coatue Management,
151,151,BitPanda,4.11,2021-03-16,Austria,Vienna,Fintech,Speedinvest,Valar Ventures,Uniqa Ventures,
107,107,Collibra,5.25,2019-01-29,Belgium,Brussels,Data management & analytics,Index Ventures,Battery Ventures,ICONIQ Capital,
321,321,Odoo,2.3,2021-07-29,Belgium,Louvain-la-Neuve,Internet software & services,Summit Partners,Noshaq,Sofinnova Partners,
459,459,Afiniti,1.6,2017-04-14,Bermuda,Hamilton,Artificial intelligence,GAM Holding,,,
758,758,iFood,1.0,2018-11-13,Brazil,Osasco,Supply chain logistics & delivery,Movile,Just Eat,Naspers,
112,112,C6 Bank,5.05,2020-12-02,Brazil,Sao Paulo,Fintech,Credit Suisse,,,
798,798,MadeiraMadeira,1.0,2021-01-07,Brazil,Parana,E-commerce & direct-to-consumer,Flybridge Capital Partners,SoftBank Group,Monashees+,
776,776,EBANX,1.0,2019-10-16,Brazil,Curitiba,Fintech,FTV Capital,Endeavor,,
873,873,Unico,1.0,2021-08-03,Brazil,Sao Paulo,Artificial intelligence,Big Bets,General Atlantic,SOFTBANK Latin America Ventures,
430,430,Creditas,1.75,2020-12-18,Brazil,Sao Paulo,Fintech,Kaszek Ventures,Amadeus Capital Partners,Quona Capital,
744,744,Movile,1.0,2018-07-12,Brazil,Sao Paulo,Mobile & telecommunications,Innova Capital - FIP,3G Capital Management,Prosus Ventures,
338,338,1,2.15,2021-09-08,Brazil,Sao Paulo,Fintech,Plug and Play Ventures,Valor Capital Group,DST Global,
908,908,CargoX,1.0,2021-10-21,Brazil,Sao Paulo,Supply chain logistics & delivery,Valor Capital Group,Lightrock,Softbank Group,
233,233,Wildlife Studios,3.0,2019-12-05,Brazil,Sao Paulo,Other,Benchmark,Bessemer Venture Partners,,
111,111,QuintoAndar,5.1,2019-09-09,Brazil,Campinas,E-commerce & direct-to-consumer,Kaszek Ventures,General Atlantic,SoftBank Group,
264,264,Loft,2.9,2020-01-03,Brazil,Sao Paulo,E-commerce & direct-to-consumer,Monashees+,Andreessen Horowitz,QED Investors,
223,223,Nuvemshop,3.1,2021-08-17,Brazil,Sao Paulo,E-commerce & direct-to-consumer,Kaszek Ventures,Qualcomm Ventures,Accel,
8,8,Nubank,30.0,2018-03-01,Brazil,Sao Paulo,Fintech,Sequoia Capital,Redpoint e.ventures,Kaszek Ventures,
385,385,Loggi,2.0,2019-06-05,Brazil,Sao Paulo,Supply chain logistics & delivery,Qualcomm Ventures,SoftBank Group. Monashees+,,
876,876,Freshbooks,1.0,2021-08-10,Canada,Toronto,Fintech,Accomplice,Oak Investment Partners,Georgian Partners,
65,65,Dapper Labs,7.6,2021-03-30,Canada,Vancouver,Fintech,Union Square Ventures,Venrock,Andreessen Horowitz,
466,466,Clio,1.6,2021-04-27,Canada,Burnaby,Internet software & services,OMERS Private Equity,T. Rowe Price,Technology Crossover Ventures,
601,601,Nexii,1.23,2021-09-08,Canada,Vancouver,Other,Trane Technologies,Honeywell,,
375,375,Clearco,2.0,2021-04-20,Canada,Toronto,Fintech,Highland Capital Partners,Oak HC/FT Partners,Emergence Capital Partners,
431,431,Trulioo,1.75,2021-06-07,Canada,Vancouver,Cybersecurity,Blumberg Capital,American Express Ventures,BDC Venture Capital,
149,149,SSENSE,4.15,2021-06-08,Canada,Montreal,E-commerce & direct-to-consumer,Sequoia Capital,,,
856,856,Visier,1.0,2021-06-29,Canada,Vancouver,Internet software & services,Foundation Capital,Summit Partners,Adams Street Partners,
835,835,TensTorrent,1.0,2021-05-05,Canada,Toronto,Artificial intelligence,Eclipse Ventures,Fidelity Investments,Moore Capital Management,
388,388,1Password,2.0,2021-07-08,Canada,Toronto,Cybersecurity,Slack Fund,Accel,Skip Capital,
161,161,PointClickCare,4.0,2021-01-07,Canada,Mississauga,Internet software & services,Dragoneer Investment Group,Hellman & Friedman,JMI Equity,
235,235,ApplyBoard,3.0,2020-05-05,Canada,Kitchener,Edtech,Artiman Ventures,Plug and Play Ventures,Anthos Capital,
216,216,Blockstream,3.2,2021-08-24,Canada,Vancouver,Fintech,AME Cloud Ventures,Future Perfect Ventures,Blockchain Capital,
248,248,Hopper,3.0,2021-03-24,Canada,Montreal,Travel,Capital One Growth Ventures,Citi Ventures,OMERS Ventures,
621,621,Ada Support,1.2,2021-05-07,Canada,Toronto,Artificial intelligence,Version One Ventures,Bessemer Venture Partners,FirstMark Capital,
508,508,NotCo,1.5,2021-07-26,Chile,Santiago,Artificial intelligence,Kaszek Ventures,SOSV,Tiger Global Management,
735,735,WeLab,1.0,2017-11-08,China,Hong Kong,Fintech,Sequoia Capital China,ING,Alibaba Entrepreneurs Fund,
748,748,Medlinker,1.0,2018-07-31,China,Chengdu,Health,China Health Industry Investment Fund,China Renaissance,and Sequoia Capital China,
359,359,4Paradigm,2.0,2018-12-19,China,Beijing,Artificial intelligence,Sequoia Capital China,China Construction Bank,Bank of China,
366,366,Keep,2.0,2020-05-19,China,Beijing,Mobile & telecommunications,Bertelsmann Asia Investments,GGV Capital,Morningside Venture Capital,
747,747,Wacai,1.0,2018-07-18,China,Hangzhou,Mobile & telecommunications,Qiming Venture Partners,China Broadband Capital,CDH Investments,
364,364,Kujiale,2.0,2019-10-25,China,Hangzhou,Internet software & services,GGV Capital,IDG Capital,Linear Venture,
745,745,Kuaigou Dache,1.0,2018-07-13,China,Tianjin,Supply chain logistics & delivery,Sequoia Capital China,InnoVision Capital,Qianhai Fund of Funds,
733,733,YH Global,1.0,2017-09-21,China,Shenzhen,Supply chain logistics & delivery,Co-Energy Finance,Grandland,,
362,362,Mafengwo,2.0,2019-05-23,China,Beijing,Travel,Qiming Venture Partners,Capital Today,General Atlantic,
742,742,LinkDoc Technology,1.0,2018-07-05,China,Beijing,Health,China Investment Corporation,New Enterprise Associates,,
741,741,China Cloud,1.0,2018-06-11,China,Wuxi,Hardware,V Star Capital,GF Xinde Investment Management Co.,Haitong Leading Capital Management,
740,740,Huike Group,1.0,2018-05-24,China,Beijing,Edtech,Fosun RZ Capital,Oceanwide Holdings,Shenzhen Qianhe Capital Management Co.,
349,349,Trendy Group International,2.0,2012-02-13,China,Kowloon,Consumer & retail,L Capital Partners,,,
736,736,Maimai,1.0,2017-11-15,China,Beijing,Mobile & telecommunications,Morningside Venture Capital,IDG Capital,DCM Ventures,
737,737,Dxy.cn,1.0,2018-04-10,China,Hangzhou,Health,Tencent Holdings,DCM Ventures,,
351,351,Tubatu.com,2.0,2015-03-09,China,Shenzhen,E-commerce & direct-to-consumer,Sequoia Capital China,Matrix Partners China,58.com,
738,738,Orbbec Technology,1.0,2018-05-21,China,Shenzhen,Hardware,R-Z Capital,Green Pine Capital Partners,SAIF Partners China,
354,354,HuiMin,2.0,2016-09-05,China,Beijing,E-commerce & direct-to-consumer,Zheshang Venture Capital,GP Capital,Western Capital Management,
749,749,FlashEx,1.0,2018-08-27,China,Beijing,Supply chain logistics & delivery,Prometheus Capital,Matrix Partners China,JD Capital Management,
0,0,Bytedance,140.0,2017-04-07,China,Beijing,Artificial intelligence,Sequoia Capital China,SIG Asia Investments,Sina Weibo,Softbank Group
333,333,Huaqin Telecom Technology,2.19,2019-10-08,China,Shanghai,Mobile & telecommunications,Zhangjiang Haocheng Venture Capital,Walden International,Intel Capital,
807,807,WeBull,1.0,2021-02-18,China,Changsha,Fintech,Bojiang Capital,Hongdao Capital,Mobai Capital,
230,230,Zuoyebang,3.0,2018-07-18,China,Beijing,Edtech,Sequoia Capital China,Xiang He Capital,GGV Capital,
227,227,SouChe Holdings,3.0,2017-11-01,China,Hangzhou,E-commerce & direct-to-consumer,Morningside Ventures,Warburg Pincus,CreditEase Fintech Investment Fund,
225,225,Yixia,3.0,2015-11-24,China,Beijing,Mobile & telecommunications,Sequoia Capital China,Sina Weibo,Kleiner Perkins Caufield & Byers,Redpoint Ventures
224,224,VANCL,3.0,2010-12-14,China,Beijing,E-commerce & direct-to-consumer,Ceyuan Ventures,QiMing Venture Partners,Temasek Holdings,
218,218,Huitongda,3.18,2017-12-22,China,Nanjing,E-commerce & direct-to-consumer,Shunwei Capital Partners,Addor Capital,New Horizon Capital,
210,210,Dadi Cinema,3.24,2016-05-11,China,Shenzhen,Other,Alibaba Pictures Group,,,
208,208,WeRide,3.3,2020-12-23,China,Guangzhou,Auto & transportation,Atop Capital,IDInvest Partners,Qiming Venture Partners,
817,817,Yunxuetang,1.0,2021-03-29,China,Suzhou,Edtech,Matrix Partners China,Sequoia Capital China,Hundreds Capital,
205,205,ECARX,3.31,2020-10-26,China,Wuhan,Auto & transportation,Geely,SIG Asia Investments,China State Capital Venture Capital Fund,
204,204,Cloudwalk,3.32,2018-10-08,China,Guangzhou,Artificial intelligence,Oriza Holdings,Guangdong Technology Financial Group,,
820,820,Hyperchain,1.0,2021-04-11,China,Hangzhou,Fintech,Yinhong Equity Investment Fund,E Fund,Ideal International,
201,201,Youxia Motors,3.35,2018-04-02,China,Shanghai,Auto & transportation,China Environmental Protection Industry,China Fortune Ocean,,
824,824,Fiture,1.0,2021-04-14,China,Chengdu,Health,Bertelsmann Asia Investments,Sequoia Capital China,NIO Capital,
831,831,XForcePlus,1.0,2021-06-01,China,Shanghai,Internet software & services,Eastern Bell Capital,Danhua Capital,MSA Capital,
791,791,AInnovation,1.0,2020-12-16,China,Beijing,Artificial intelligence,CICC ALPHA,Chengwei Capital,Sinovation Ventures,
334,334,YITU Technology,2.17,2018-03-08,China,Shanghai,Artificial intelligence,Sequoia Capital China,Banyan Capital,,
268,268,Meicai,2.8,2016-06-22,China,Beijing,Mobile & telecommunications,Tiger Global Management,Blue Lake Capital,ZhenFund,
278,278,Hozon Auto,2.74,2021-10-25,China,Shanghai,Auto & transportation,HD Capital,Qihoo 360 Technology,China Fortune Land Development,
751,751,Banma Network Technologies,1.0,2018-09-13,China,Shanghai,Auto & transportation,Yunfeng Capital,SDIC Innovation Investment Management,Shang Qi Capital,
753,753,Momenta,1.0,2018-10-17,China,Beijing,Artificial intelligence,Sinovation Ventures,Tencent Holdings,Sequoia Capital China,
754,754,Hosjoy,1.0,2018-10-18,China,Nanjing,E-commerce & direct-to-consumer,U.S.-China Green Fund,Founder H Fund,Richland Equities,
756,756,TERMINUS Technology,1.0,2018-10-25,China,Beijing,Hardware,China Everbright Limited,IDG Capital,iFLYTEK,
731,731,DianRong,1.0,2017-08-02,China,Shanghai,E-commerce & direct-to-consumer,Standard Chartered,FinSight Ventures,Affirma Capital,
759,759,Geek+,1.0,2018-11-21,China,Beijing,Hardware,Volcanics Ventures,Vertex Ventures China,Warburg Pincus,
313,313,Biren Technology,2.32,2020-08-18,China,Shanghai,Hardware,V FUND,IDG Capital,Green Pine Capital Partners,
763,763,Intellifusion,1.0,2019-03-22,China,Shenzhen,Artificial intelligence,BOC International,TopoScend Capital,Hongxiu VC,
765,765,Poizon,1.0,2019-04-29,China,Shanghai,Mobile & telecommunications,DST Global,Sequoia Capital China,Gaorong Capital,
768,768,KnowBox,1.0,2019-05-30,China,Beijing,Edtech,TAL Education Group,Legend Star,Alibaba Group,
302,302,Star Charge,2.41,2021-05-19,China,Changzhou,Auto & transportation,Shunwei Capital Partners,China Media Group,Guangzhou Huiyin Aofeng Equity Investment Fund,
301,301,Cgtz,2.41,2017-02-21,China,Hangzhou,Fintech,Shunwei Capital Partners,China Media Group,Guangzhou Huiyin Aofeng Equity Investment Fund,
289,289,BYTON,2.5,2018-04-20,China,Nanjing,Auto & transportation,FAW Group,Tencent Holdings,Tus Holdings,
286,286,Xinchao Media,2.0,2018-04-09,China,Chengdu,Internet software & services,JD.com,Baidu,Vision Plus Capital,
777,777,KK Group,3.0,2019-10-23,China,Dongguan,E-commerce & direct-to-consumer,Matrix Partners China,Bright Venture Capita,Shenzhen Capital Group,
785,785,Newlink Group,1.0,2020-07-10,China,Beijing,E-commerce & direct-to-consumer,JOY Capital,NIO Capital,Blueflame Capital,
368,368,Xingyun Group,2.0,2020-09-24,China,Shenzhen,E-commerce & direct-to-consumer,Matrix Partners China,Eastern Bell Capital,Hongtai Capital Holdings,
724,724,iCarbonX,1.0,2016-04-12,China,Shenzhen,Artificial intelligence,Tencent,Vcanbio,,
728,728,Zhuan Zhuan,1.0,2017-04-18,China,Beijing,E-commerce & direct-to-consumer,58.com,Tencent Holdings,,
647,647,Yimidida,1.17,2019-01-14,China,Shanghai,Supply chain logistics & delivery,Source Code Capital,Global Logistic Properties,K2VC,
528,528,Ouyeel,1.45,2019-06-27,China,Shanghai,Internet software & services,Taigang Venture Capital,,,
527,527,Juma Peisong,1.45,2018-11-26,China,Chengdu,Supply chain logistics & delivery,Ding Xiang Capital,New Hope Fund,Sino-Ocean Capital,
526,526,Coocaa,1.45,2018-03-16,China,Shenzhen,Hardware,Baidu,Tencent Holdings,,
525,525,Bordrin Motors,1.48,2019-06-03,China,Shanghai,Auto & transportation,China Grand Prosperity Investment,CSC Group,,
524,524,Yipin Shengxian,1.49,2019-03-11,China,Hefei,E-commerce & direct-to-consumer,Eastern Bell Capital,Capital Today,Longzhu Capital,
650,650,Tuhu,1.16,2018-09-15,China,Shanghai,Auto & transportation,Qiming Venture Partners,Yaxia Automobile,Far East Horizon,
646,646,Luoji Siwei,1.18,2017-07-20,China,Beijing,Edtech,Sequoia Capital China,Qiming Venture Partners,Tencent Holdings,
651,651,SVOLT Energy,1.16,2020-06-08,China,Changzhou,Auto & transportation,IDG Capital,"Bank Of China Group Investment,",SDIC CMC Investment Management,
662,662,Juanpi,1.1,2016-04-14,China,Wuhan,E-commerce & direct-to-consumer,Tiantu Capital,SAIF Partners China,Newsion Venture Capital,
503,503,YunQuNa,1.5,2021-06-29,China,Shanghai,Supply chain logistics & delivery,Source Code Capital,Coatue Management,DCM Ventures,
490,490,Yijiupi,1.5,2018-09-20,China,Beijing,Consumer & retail,Source Code Capital,Meituan Dianping,Tencent Holdings,
489,489,JOLLY Information Technology,1.5,2018-05-29,China,Hangzhou,E-commerce & direct-to-consumer,Legend Capital,CDH Investments,Sequoia Capital China,
488,488,XiaoZhu,1.5,2017-11-01,China,Beijing,Travel,Morningside Ventures,Capital Today,JOY Capital,
487,487,Changingedu,1.5,2017-10-30,China,Shanghai,Edtech,Trustbridge Partners,IDG Capital,Sequoia Capital China,
486,486,DT Dream,1.5,2017-06-08,China,Hangzhou,Data management & analytics,Alibaba Group,China Everbright Investment Management,Yinxinggu Capital,
659,659,TELD,1.12,2019-12-16,China,Qingdao,Fintech,China Reform Fund,Gaopeng Capital,Jinhui Xingye,
484,484,Mofang Living,1.5,2016-04-13,China,Shanghai,E-commerce & direct-to-consumer,Warburg Pincus,Aviation Industry Corporation of China,,
644,644,Mininglamp Technology,1.19,2019-03-27,China,Beijing,Artificial intelligence,Russia-China Investment Fund,Tencent Holdings,Sequoia Capital China,
643,643,Unisound,1.19,2018-07-19,China,Beijing,Artificial intelligence,Qiming Venture Partners,China Internet Investment Fund,Qualcomm Ventures,
603,603,GalaxySpace,1.22,2020-11-17,China,Beijing,Mobile & telecommunications,Shunwei Capital Partners,5Y Capital,Legend Capital,
599,599,Enflame,1.24,2021-01-05,China,Shanghai,Hardware,Tencent Holdings,Delta Capital,Redpoint Ventures China,
593,593,Kuaikan Manhua,1.25,2017-12-01,China,Beijing,Internet software & services,Sequoia Capital China,CMC Capital Partners,Tencent Holdings,
589,589,WTOIP,1.27,2018-04-08,China,Guangzhou,Internet software & services,Dark Horse Technology Group,Hopu Investment Management,Kefa Capital,
588,588,Huisuanzhang,1.28,2021-05-24,China,Beijing,Fintech,IDG Capital,Gaocheng Capital,Chuanrong Capital,
616,616,Pipa Coding,1.2,2021-03-25,China,Beijing,Edtech,Source Code Capital,XVC Venture Capital,Hillhouse Capital Management,
618,618,Aibee,1.2,2021-04-13,China,Beijing,Artificial intelligence,Sequoia Capital China,Lenovo Capital and Incubator,Group GSR Ventures,
535,535,Koudai,1.4,2014-10-23,China,Beijing,E-commerce & direct-to-consumer,New Enterprise Associates,Tiger Global management,Tencent,
577,577,TalkingData,1.3,2021-01-06,China,Beijing,Mobile & telecommunications,N5 Capital,CR Capital Mgmt,JD Digits,
568,568,Tongdun Technology,1.32,2019-04-25,China,Hangzhou,Cybersecurity,Advantech Capital,Temasek Holdings Ltd.,Tiantu Capital Co.,
626,626,SmartMore,1.2,2021-06-24,China,Shenzhen,Artificial intelligence,IDG Capital,ZhenFund,Sequoia Capital China,
560,560,Yaoshibang,1.35,2021-06-15,China,Guangzhou,Health,Green Pine Capital Partners,Ivy Capital,DCM Ventures,
559,559,Klook,1.35,2018-08-07,China,Central,Travel,Sequoia Capital China,Goldman Sachs,Matrix Partners China,
558,558,DeepBlue Technology,1.35,2018-04-16,China,Shanghai,Artificial intelligence,DESUN Capital,Yunfeng Capital,Meridian Capital,
539,539,Hive Box,1.4,2018-01-23,China,Shenzhen,Supply chain logistics & delivery,Eastern Bell Capital,SF Holding Co,STO Express,
537,537,Yidian Zixun,1.4,2017-10-17,China,Beijing,Mobile & telecommunications,Phoenix New Media,Tianjin Haihe Industry Fund,,
576,576,Manner,1.3,2020-12-24,China,Shanghai,Other,Coatue Management,H Capital,Capital Today,
730,730,Zhaogang,1.0,2017-06-29,China,Shanghai,E-commerce & direct-to-consumer,K2 Ventures,Matrix Partners China,IDG Capital,
483,483,TuJia,1.5,2015-06-17,China,Beijing,Travel,GGV Capital,QiMing Venture Partnersl,,
480,480,Ximalaya FM,1.52,2017-09-22,China,Shanghai,Mobile & telecommunications,China Creation Ventures,Sierra Ventures,Xingwang Investment Management,
710,710,LinkSure Network,1.0,2015-01-01,China,Shanghai,Mobile & telecommunications,Haitong Kaiyuan Investment,Northern Light Venture Capital,,
712,712,BeiBei,1.0,2015-01-22,China,Hangzhou,E-commerce & direct-to-consumer,Banyan Capital,New Horizon Capital,IDG Capital Partners,
713,713,Lamabang,1.0,2015-03-06,China,Shenzhen,E-commerce & direct-to-consumer,5Y Capital,Matrix Partners China,K2VC,
714,714,JimuBox,1.0,2015-04-21,China,Beijing,Fintech,Matrix Partners China,Ventech China,Shunwei Capital Partners,
716,716,FXiaoKe,1.0,2015-07-02,China,Beijing,Mobile & telecommunications,IDG Capital,Northern Light Venture Capital,DCM Ventures,
398,398,Black Sesame Technologies,2.0,2021-09-22,China,Shanghai,Artificial intelligence,Northern Light Venture Capital,Xiaomi,FutureX Capital,
718,718,Mia.com,1.0,2015-09-08,China,Beijing,E-commerce & direct-to-consumer,Sequoia Capital China,ZhenFund,K2 Ventures,
414,414,Fenbi Education,1.95,2021-02-07,China,Beijing,Edtech,Trustbridge Partners,Hony Capital,IDG Capital,
719,719,58 Daojia,1.0,2015-10-12,China,Beijing,Internet software & services,KKR,Alibaba Group,Ping An Insurance,
721,721,HuJiang,1.0,2015-10-29,China,Shanghai,Edtech,China Minsheng Investment,Baidu,Wanxin Media,
390,390,XtalPi,2.0,2021-08-11,China,Shenzhen,Artificial intelligence,Tencent Holdings,5Y Capital,Sequoia Capital China,
722,722,iTutorGroup,1.0,2015-11-18,China,Shanghai,Edtech,QiMing Venture Partners,Temasek Holdings,Silverlink Capital,
380,380,Beisen,2.0,2021-05-11,China,Beijing,Internet software & services,Matrix Partners China,Sequoia Capital China,Genesis Capital,
727,727,Mobvoi,1.0,2017-04-06,China,Beijing,Consumer & retail,Sequoia Capital China,SIG Asia Investments,ZhenFund,
374,374,Arrail Dental,2.0,2021-04-13,China,Beijing,Health,Qiming Venture Partners,Kleiner Perkins Caufield & Byers,OrbiMed Advisors,
373,373,Guoquan Shihui,2.0,2021-03-17,China,Shanghai,Consumer & retail,Tiantu Capital,CMB International Capital,Vision Knight Capital,
720,720,Womai,1.0,2015-10-12,China,Beijing,E-commerce & direct-to-consumer,SAIF Partners China,Baidu,IDG Capital,
481,481,Carzone,1.52,2019-03-01,China,Jiangsu,E-commerce & direct-to-consumer,"Alibaba Group,Co-Stone Venture Capital",Buhuo Venture Capital,,
417,417,eDaili,1.9,2019-02-01,China,Shanghai,E-commerce & direct-to-consumer,K2VC,Lightspeed China Partners,Sky9 Capital,
705,705,Leap Motor,1.01,2018-11-20,China,Hangzhou,Auto & transportation,Sequoia Capital China,Gopher Asset Management,Shanghai Electric Group,
676,676,Qingting FM,1.1,2021-06-02,China,Shanghai,Internet software & services,China Culture Industrial Investment Fund,We Capital,China Minsheng Investment Group,
478,478,Wenheyou,1.55,2021-04-17,China,Hunan,Other,Sequoia Capital China,Warburg Pincus,IDG Capital,
477,477,Iluvatar CoreX,1.55,2021-03-01,China,Shanghai,Hardware,Centurium Capital,Cedarlake Capital,Unicom Innovation Venture Capital,
476,476,Baiwang,1.55,2019-03-25,China,Beijing,Fintech,Guozhong Venture Capital Management,Shenzhen Capital Group,Oriental Fortune Capital,
677,677,Amber Group,1.1,2021-06-21,China,Hong Kong,Fintech,Tiger Global Management,Tiger Brokers,DCM Ventures,
462,462,ASR Microelectronics,1.6,2020-04-30,China,Shanghai,Hardware,Shenzhen Capital Group,Sequoia Capital China,Hillhouse Capital Management,
460,460,Cao Cao Mobility,1.6,2018-01-17,China,Hangzhou,Auto & transportation,People Electrical Appliance Group China,Zhongrong International Trust,,
421,421,ENOVATE,1.85,2019-04-15,China,Shanghai,Auto & transportation,Automobile Industry Guidance Fund,,,
456,456,Zhubajie,1.61,2015-06-16,China,Chongqing,Internet software & services,Cybernaut Growth Fund,IDG Capital,,
690,690,Nxin,1.08,2018-09-18,China,Beijing,Internet software & services,Beijing Juneng Hesheng Industry Investment Fund,Beijing Shuju Xinrong Fund,,
691,691,UISEE Technology,1.08,2021-01-25,China,Beijing,Supply chain logistics & delivery,Shenzhen Capital Group,Robert Bosch Venture Capital,SeptWolves Ventures,
692,692,56PINGTAI,1.08,2021-01-25,China,Shanghai,Supply chain logistics & delivery,QF Capital,QC Capital,Unicom Innovation Venture Capital,
696,696,Jiuxian,1.05,2015-07-30,China,Beijing,E-commerce & direct-to-consumer,Sequoia Capital China,Rich Land Capital,Merrysunny Wealth,
698,698,Hesai Tech,1.05,2020-08-01,China,Shanghai,Artificial intelligence,Lightspeed China Partners,Baidu Ventures,Qiming Venture Partners,
435,435,Apus Group,1.73,2015-01-16,China,Beijing,Mobile & telecommunications,Redpoint Ventures,QiMing Venture Partners,Chengwei Capital,
429,429,AIWAYS,1.78,2018-04-16,China,Shanghai,Auto & transportation,Jiangsu Sha Steel Group,Shanghai Puyin Industry,Funa Yuanchuang Technology,
455,455,Jusfoun Big Data,1.62,2018-07-09,China,Beijing,Data management & analytics,Boxin Capital,DT Capital Partners,IDG Capital,
836,836,Zihaiguo,1.0,2021-05-06,China,Chongqing,Consumer & retail,Xingwang Investment Management,China Capital Investment Group,Matrix Partners China,
767,767,SITECH DEV,1.0,2019-05-16,China,Guiyang,Other,China Prosperity Capital,,,
605,605,Yiguo,1.2,2016-11-09,China,Shanghai,Supply chain logistics & delivery,Alibaba Group,KKR,Goldman Sachs,
28,28,Bitmain Technologies,12.0,2018-07-06,China,Beijing,Hardware,Coatue Management,Sequoia Capital China,IDG Capital,
31,31,ZongMu Technology,11.4,2021-06-03,China,Shanghai,Auto & transportation,LTW Capital,Legend Capital,Qualcomm Ventures,
34,34,Weilong,10.88,2021-05-08,China,Luohe,Consumer & retail,Tencent Holdings,Hillhouse Capital Management,Yunfeng Capital,
35,35,Lalamove,10.0,2019-02-21,China,Cheung Sha Wan,Supply chain logistics & delivery,MindWorks Ventures,Shunwei Capital Partners,Xiang He Capital,
919,919,Gaussian Robotics,1.0,2021-11-10,China,Shanghai,Hardware,BlueRun Ventures,Grand Flight Investment,Meituan Dianping,
912,912,Tezign,1.0,2021-11-02,China,Shanghai,Internet software & services,Sequoia Capital China,Linear Venture,Hearst Ventures,
46,46,HEYTEA,9.28,2019-07-01,China,Shenzhen,Other,Sequoia Capital China,Tencent Investment,BA Capital,
911,911,Moka,1.0,2021-11-02,China,Beijing,Internet software & services,GGV Capital,GSR Ventures,FreesFund,
51,51,Chehaoduo,9.0,2016-03-12,China,Beijing,E-commerce & direct-to-consumer,Sequoia Capital China,GX Capital,,
155,155,MEGVII,4.0,2017-10-31,China,Beijing,Artificial intelligence,Ant Financial Services Group,Russia-China Investment Fund,Foxconn Technology Company,
61,61,Xingsheng Selected,8.0,2020-07-22,China,Changsha,E-commerce & direct-to-consumer,KKR,Tencent Holdings,Sequoia Capital China,
146,146,Miaoshou Doctor,4.25,2019-06-27,China,Beijing,E-commerce & direct-to-consumer,Sequoia Capital China,Qiming Venture Partners,Tencent Holdings,
139,139,UBTECH Robotics,4.45,2016-07-25,China,Shenzhen,Hardware,CDH Investments,Goldstone Investments,Qiming Venture Partners,
896,896,HAYDON,1.0,2021-09-24,China,Shanghai,Consumer & retail,Tencent Holdings,Hillhouse Capital Management,,
76,76,We Doctor,7.0,2015-09-22,China,Hangzhou,Health,Tencent,Morningside Group,,
895,895,Keenon Robotics,1.0,2021-09-15,China,Shanghai,Supply chain logistics & delivery,Yunqi Partners,SoftBank Group,iVision Ventures,
136,136,VIPKid,4.5,2016-08-04,China,Beijing,Edtech,Sequoia Capital China,Tencent Holdings,Sinovation Ventures,
79,79,Ziroom,6.6,2018-01-17,China,Beijing,E-commerce & direct-to-consumer,Sequoia Capital China,Warburg Pincus,General Catalyst,
133,133,Meizu Technology,4.58,2014-07-23,China,Zhuhai,Hardware,Telling Telecommunication Holding Co.,Alibaba Group,,
867,867,Xiaobing,1.0,2021-07-12,China,Beijing,Fintech,NetEase Capital,Northern Light Venture Capital,Microsoft,
90,90,Royole Corporation,6.0,2015-08-18,China,Shenzhen,Hardware,Warmsun Holding,IDG Capital Partners,,
91,91,Yuanqi Senlin,6.0,2020-03-01,China,Beijing,Consumer & retail,Sequoia Capital China,Longfor Capitalm,Gaorong Capital,
119,119,WM Motor,5.0,2019-03-08,China,Shanghai,Auto & transportation,Baidu Capital,Linear Venture,Tencent,
118,118,Horizon Robotics,5.0,2019-02-27,China,Beijing,Artificial intelligence,Hillhouse Capital Management,Linear Venture,Morningside Venture Capital,
114,114,Hello TransTech,5.0,2018-06-01,China,Shanghai,Auto & transportation,Ant Financial Services Group,GGV Capital,,
113,113,United Imaging Healthcare,5.0,2017-09-15,China,Shanghai,Health,China Life Insurance,China Development Bank Capital,CITIC Securities International,
885,885,Cider,1.0,2021-09-02,China,Hong Kong,E-commerce & direct-to-consumer,Andreessen Horowitz,DST Global,IDG Capital,
96,96,Easyhome,5.78,2018-02-12,China,Beijing,Consumer & retail,Alibaba Group,Boyu Capital,Borui Capital,
97,97,Lianjia,5.77,2016-04-07,China,Beijing,E-commerce & direct-to-consumer,Tencent,Baidu,Huasheng Capital,
