,Unnamed: 0,Company,Valuation ($B),Date Joined,Country,City,Industry,Investor 1,Investor 2,Investor 3,Investor 4
173,173,Ramp Financial,3.9,2021-03-29,USA,New York,Fintech,D1 Capital Partners,Stripe,Coatue Management,
213,213,Cedar,3.2,2021-03-09,USA,New York,Fintech,Thrive Capital,Founders Fund,Cocnord Health Partners,
217,217,ConsenSys,3.2,2021-11-17,USA,New York,Fintech,Third Point,Electric Capital,Coinbase Ventures,
219,219,PsiQuantum,3.15,2021-07-27,USA,Palo Alto,Hardware,Playground Global,M12,BlackRock,
267,267,DriveWealth,2.85,2021-08-20,USA,Chatham,Fintech,Point72 Ventures,Route 66 Ventures,Accel,
269,269,Icertis,2.8,2019-07-17,USA,Bellevue,Artificial intelligence,Eight Roads Ventures,Greycroft,Ignition Partners,
270,270,Weee!,2.8,2021-03-16,USA,Fremont,Supply chain logistics & delivery,Goodwater Capital,iFly,XVC Venture Capital,
272,272,Zipline,2.8,2019-05-20,USA,South San Francisco,Supply chain logistics & delivery,Sequoia Capital,Baillie Gifford & Co.,Google Ventures,
274,274,Illumio,2.75,2015-04-14,USA,Sunnyvale,Cybersecurity,Data Collective,Formation 8,General Catalyst Partners,
275,275,Convoy,2.75,2018-09-21,USA,Seattle,Supply chain logistics & delivery,Greylock Partners,capitalG,Y Combinator,
276,276,MasterClass,2.75,2021-05-13,USA,San Francisco,Edtech,Institutional Venture Partners,New Enterprise Associates,Javelin Venture Partners,
263,263,Workrise,2.9,2019-09-30,USA,Austin,Internet software & services,Founders Fund,Quantum Energy Partners,Bedrock Capital,
279,279,Tradeshift,2.7,2018-05-30,USA,San Francisco,Fintech,Notion Capital,Scentan Ventures,Kite Ventures,
283,283,Sourcegraph,2.62,2021-07-13,USA,San Francisco,Internet software & services,Redpoint Ventures,Goldcrest Capital,Insight Partners,
284,284,Pendo,2.6,2019-10-17,USA,Raleigh,Internet software & services,Contour Venture Partners,Battery Ventures,Core Capital Partners,
285,285,Plume,2.6,2021-02-23,USA,Palo Alto,Internet software & services,Insight Partners,Jackson Square Ventures,Liberty Gloval Ventures,
287,287,JumpCloud,2.62,2021-09-13,USA,Louisville,Data management & analytics,Foundry Group,General Atlantic,BlackRock,
291,291,Side,2.5,2021-03-22,USA,San Francisco,Internet software & services,Coatue Managemeny,Trinity Ventures,Matrix Partners,
294,294,Varo Bank,2.5,2021-09-09,USA,San Francisco,Fintech,Warburg Pincus,The Rise Fund,HarbourVest Partners,
602,602,BlockDaemon,1.23,2021-09-21,USA,Los Angeles,Fintech,BOLDstart Ventures,Lerer Hippeau,Kenetic Capital,
280,280,Nextiva,2.7,2021-09-14,USA,Scottsdale,Internet software & services,Goldman Sachs Asset Management,,,
261,261,OpenAI,2.92,2019-07-22,USA,San Francisco,Artificial intelligence,Khosla Ventures,,,
260,260,Kraken,2.92,2019-06-25,USA,San Francisco,Fintech,Bnk To The Future,Trammell Ventures,SBI Investment,
259,259,Via,3.3,2020-03-30,USA,New York,Auto & transportation,83North,RiverPark Ventures,Pitango Venture Capital,
220,220,SpotOn,3.15,2021-05-26,USA,San Francisco,Fintech,Dragoneer Investment Group,DST Global,Franklin Templeton,
222,222,HighRadius,3.1,2020-01-07,USA,Houston,Fintech,Susquehanna Growth Equity,Citi Ventures,ICONIQ Capital,
229,229,Circle,3.0,2018-05-15,USA,Boston,Fintech,General Catalyst,Digital Currency Group,Accel,
237,237,Forter,3.0,2020-11-19,USA,New York,Cybersecurity,Sequoia Capital Israel,Scale Venture Partners,Commerce Ventures,
238,238,Calendly,3.0,2021-01-26,USA,Atlanta,Internet software & services,ICONIQ Capital,OpenView Venture Partners,,
239,239,BlockFi,3.0,2021-03-11,USA,Jersey City,Fintech,ConsenSys Ventures,Valar Ventures,PUC,
240,240,ActiveCampaign,3.0,2021-04-21,USA,Chicago,Internet software & services,Silversmith Capital Partners,Susquehanna Growth Equity,Tiger Global Management,
242,242,Lucid Software,3.0,2021-06-29,USA,South Jordan,Internet software & services,Spectrum Equity,ICONIQ Capital,Grayhawk Capital,
243,243,Age of Learning,3.0,2016-05-03,USA,Glendale,Edtech,Iconiq Capital,,,
244,244,Carbon Health,3.0,2021-07-21,USA,San Francisco,Health,Brookfield Asset Management,Blackstone,Data Collective,
247,247,LaunchDarkly,3.0,2021-07-28,USA,Oakland,Internet software & services,Uncork Capital,Threshold Ventures,Bloomberg Beta,
249,249,Seismic,3.0,2018-12-18,USA,San Diego,Internet software & services,Jackson Square Ventures,General Atlantic,Lightspeed Venture Partners,
250,250,Grafana Labs,3.0,2021-08-24,USA,New York,Internet software & services,Lightspeed Venture Partners,Lead Edge Capital,Coatue Management,
254,254,Celsius Network,3.0,2021-10-12,USA,Hoboken,Fintech,WestCap Group,Caisse de depot et placement du Quebec,,
255,255,Outschool,3.0,2021-04-14,USA,San Francisco,Edtech,Uniion Square Ventures,Tiger Global Management,Lightspeed Venture Capital,
256,256,TradingView,3.0,2021-10-14,USA,Westerville,Fintech,Tiger Global Management,Insight Partners,Jump Capital,
258,258,Podium,3.0,2020-04-07,USA,Lehi,Internet software & services,Accel,Summit Partners,Google Ventures,
162,162,Zapier,4.0,2021-01-14,USA,Sunnyvale,Internet software & services,Sequoia Capital,Bessemer Venture Partners,Threshold Ventures,
160,160,Patreon,4.0,2020-09-02,USA,San Francisco,Internet software & services,Index Ventures,Thrive Capital,CRV,
159,159,Next Insurance,4.0,2019-10-07,USA,Palo Alto,Fintech,Zeev Ventures,Ribbit Capital,TLV Partners,
158,158,Radiology Partners,4.0,2019-07-19,USA,El Segundo,Health,New Enterprise Associates,Starr Investment Holdings,,
45,45,ServiceTitan,9.5,2018-11-14,USA,Glendale,Internet software & services,Bessemer Venture Partners,ICONIQ Capital,Battery Ventures,
48,48,Klaviyo,9.2,2020-11-17,USA,Boston,Internet software & services,Summit Partners,Accel,Astral Capital,
50,50,Tanium,9.0,2015-03-31,USA,Kirkland,Cybersecurity,Andreessen Horowitz,Nor-Cal Invest,TPG Growth,
52,52,Niantic,9.0,2017-11-24,USA,San Francisco,Mobile & telecommunications,Nintendo,Google,Pokemon Company International,Spark Capital
57,57,Nuro,8.6,2019-02-11,USA,Mountain View,Auto & transportation,SoftBank Group,Greylock Partners,Gaorong Capital,
58,58,Lacework,8.3,2021-01-07,USA,San Jose,Cybersecurity,Sutter Hill Ventures,Liberty Global Ventures,Coatue Management,
59,59,Tipalti,8.3,2020-10-06,USA,San Mateo,Fintech,01 Advisors,Zeev Ventures,Group 11,
44,44,OutSystems,9.5,2018-06-05,USA,Boston,Internet software & services,KKR,ES Ventures,North Bridge Growth Equity,
60,60,Tempus,8.1,2018-03-21,USA,Chicago,Health,New Enterprise Associates,T. Rowe Associates,Lightbank,
64,64,Caris Life Sciences,7.83,2021-05-17,USA,Irving,Health,Sixth Street Partners,OrbiMed Advisors,Highland Capital Management,
68,68,Netskope,7.5,2018-11-13,USA,Santa Clara,Cybersecurity,Lightspeed Venture Partners,Social Capital,Accel,
70,70,Carta,7.4,2019-05-06,USA,San Francisco,Fintech,Menlo Ventures,Spark Capital,Union Square Ventures,
71,71,Scale AI,7.3,2019-08-05,USA,San Francisco,Artificial intelligence,Accel,Y Combinator,Index Ventures,
72,72,Argo AI,7.25,2019-07-12,USA,Pittsburgh,Artificial intelligence,Volkswagen Group,Ford Autonomous Vehicles,,
73,73,Gong,7.25,2020-08-12,USA,Palo Alto,Artificial intelligence,Norwest Venture Partners,Next World Capital,Wing Venture Capital,
74,74,TripActions,7.25,2018-11-08,USA,Palo Alto,Travel,Andreessen Horowitz,Lightspeed Venture Partners,Zeev Ventures,
63,63,Fireblocks,8.0,2021-07-27,USA,New York,Fintech,Tenaya Capital,Coatue Management,Stripes Group,
43,43,Digital Currency Group,10.0,2021-11-01,USA,New York,Fintech,Ribbit Capital,capitalG,Softbank Group,
42,42,Thrasio,10.0,2020-07-15,USA,Walpole,Other,Upper90,RiverPark Ventures,Advent International,
41,41,Notion Labs,10.0,2020-04-01,USA,San Francisco,Internet software & services,Index Ventures,Draft Ventures,Felicis Ventures,
9,9,Epic Games,28.7,2018-10-26,USA,Cary,Other,Tencent Holdings,KKR,Smash Ventures,
10,10,Chime,25.0,2019-03-05,USA,San Francisco,Fintech,Forerunner Ventures,Crosslink Capital,Homebrew,
15,15,Fanatics,18.0,2012-06-06,USA,Jacksonville,E-commerce & direct-to-consumer,SoftBank Group,Andreessen Horowitz,Temasek Holdings,
20,20,goPuff,15.0,2020-10-08,USA,Philadelphia,E-commerce & direct-to-consumer,Accel,Softbank Group,Anthos Capital,
21,21,Plaid Technologies,13.4,2018-12-11,USA,San Francisco,Fintech,New Enterprise Associates,Spar Capital,Index Ventures,
22,22,Grammarly,13.0,2019-10-10,USA,San Francisco,Internet software & services,General Catalyst,Institutional Venture Partners,Breyer Capital,
23,23,Devoted Health,12.6,2018-10-16,USA,Waltham,Health,Andreessen Horowitz,F-Prime Capital,Venrock,
24,24,Faire,12.4,2019-10-30,USA,San Francisco,Artificial intelligence,Khosla Ventures,Forerunner Ventures,Sequoia Capital,
25,25,Brex,12.3,2018-10-05,USA,San Francisco,Fintech,DST Global,Ribbit Capital,Greenoaks Capital Management,
27,27,JUUL Labs,12.0,2017-12-20,USA,San Francisco,Consumer & retail,Tiger Global Management,,,
29,29,Biosplice Therapeutics,12.0,2018-08-06,USA,San Diego,Health,Vickers Venture Partners,IKEA GreenTech,,
30,30,GoodLeap,12.0,2021-10-13,USA,Roseville,Internet software & services,New Enterprise Associates,BDT Capital Partners,Davidson Kempner Capital Management,
36,36,Ripple,10.0,2019-12-20,USA,San Francisco,Fintech,IDG Capital,Venture51,Lightspeed Venture Partners,
37,37,Figma,10.0,2020-04-30,USA,San Francisco,Internet software & services,Index Ventures,Greylock Partners,Kleiner Perkins Caufield & Byers,
38,38,Gusto,10.0,2015-12-18,USA,San Francisco,Fintech,General Catalyst Partners,Google Ventures,Kleiner Perkins Caufield & Byers,
39,39,reddit,10.0,2017-07-31,USA,San Francisco,Internet software & services,Y Combinator,Sequoia Capital,Coatue Management,
40,40,Talkdesk,10.0,2018-10-03,USA,San Francisco,Internet software & services,DJF,Salesforce Ventures,Storm Ventures,
75,75,Gemini,7.1,2021-11-19,USA,New York,Fintech,Morgan Creek Digital,Marcy Venture Partners,10T Fund,
297,297,Vercel,2.5,2021-06-23,USA,San Francisco,Internet software & services,CRV,Accel,Google Ventures,
77,77,Discord,7.0,2018-04-20,USA,San Francisco,Internet software & services,Benchmark,Greylock Partners,Tencent Holdings,
82,82,Rippling,6.5,2020-08-04,USA,San Francisco,Internet software & services,Initialized Capital,Y Combinator,Kleiner Perkins Caufield & Byers,
128,128,Anduril,4.6,2019-09-11,USA,Irvine,Artificial intelligence,Andreessen Horowitz,Founders Fund,Revolution Ventures,
129,129,Lyra Health,4.6,2020-08-25,USA,Burlingame,Health,Greylock Partners,Venrock,Providence Ventures,
130,130,Dataiku,4.6,2019-12-04,USA,New York,Internet software & services,Alven Capital,FirstMark Capital,capitalG,
131,131,Checkr,4.6,2019-09-19,USA,San Francisco,Internet software & services,Y Combinator,Accel,T. Rowe Price,
132,132,Color,4.6,2021-01-04,USA,Burlingame,Health,General Catalyst,Viking Global Investors,T. Rowe Price,
135,135,Zenefits,4.5,2015-05-06,USA,San Francisco,Fintech,SV Angel,Institutional Venture Partners,Venrock,
137,137,Socure,4.5,2021-03-16,USA,New York,Cybersecurity,Two Sigma Ventures,Flint Capital,Commerce Ventures,
127,127,Cerebral,4.8,2021-06-10,USA,San Francisco,Health,Oak HC/FT Partners,Artis Ventures,WestCap Group,
140,140,Outreach,4.4,2019-04-16,USA,Seattle,Internet software & services,Mayfield Fund,M12,Trinity Ventures,
143,143,Arctic Wolf Networks,4.3,2020-10-22,USA,Eden Prairie,Cybersecurity,Lightspeed Venture Partners,Redpoint Ventures,Viking Global Investors,
145,145,Relativity Space,4.2,2020-11-23,USA,Inglewood,Other,Playground Global,Bond,Tribe Capital,
147,147,Chainalysis,4.2,2020-11-23,USA,New York,Fintech,Addition,Benhcmark,Accel,
148,148,ThoughtSpot,4.2,2018-05-08,USA,Sunnyvale,Internet software & services,Lightspeed Venture Partners,Khosla Ventures,Geodesic Capital,
150,150,Dataminr,4.1,2018-06-04,USA,New York,Artificial intelligence,Venrock,Institutional Venture Partners,Goldman Sachs,
152,152,Houzz,4.0,2014-09-30,USA,Palo Alto,E-commerce & direct-to-consumer,New Enterprise Associates,Sequoia Capital,Comcast Ventures,
157,157,Impossible Foods,4.0,2019-05-13,USA,Redwood City,Consumer & retail,Khosla Ventures,Horizons Ventures,Temasek Holdings,
142,142,BetterUp,4.7,2021-02-25,USA,San Francisco,Internet software & services,Threshold Ventures,Lightspeed Venture Partners,Crosslink Capital,
122,122,SambaNova Systems,5.0,2021-04-13,USA,Palo Alto,Data management & analytics,Walden International,Google Ventures,Intel Capital,
120,120,Ro,5.0,2020-07-27,USA,New York,Health,Initialized Capital,General Catalyst,SignalFire,
116,116,Deel,5.5,2021-04-21,USA,San Francisco,Fintech,Andreessen Horowitz,Spark Capital,Y Combinator,
84,84,Samsara Networks,6.3,2018-03-22,USA,San Francisco,Hardware,Andreessen Horowitz,General Catalyst,,
85,85,DataRobot,6.3,2019-07-29,USA,Boston,Artificial intelligence,New Enterprise Associates,Accomplice,IA Ventures,
87,87,Hinge Health,6.2,2021-01-06,USA,San Francisco,Health,Atomico,Insight Partners,Coatue Management,
